Carrera,Codigo,Nombre,Creditos,Horarios,Requisitos,Correquisitos,TieneChoque,PuedeMatricular
"Ingeniería Ambiental","FI2103","física general III",3,"P1-G1=MIE[15:00-16:50];VIE[15:00-16:50] | P2-G1=MAR[15:00-16:50];JUE[15:00-16:50] | P1-G2=MIE[17:00-18:50];VIE[17:00-18:50] | P1-G3=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G2=MIE[09:30-11:20];JUE[17:00-18:50] | P1-G4=MIE[13:00-14:50];VIE[08:00-09:50] | P1-G5=MAR[09:30-11:20];JUE[09:30-11:20] | P1-G6=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G3=MAR[17:00-18:50];JUE[17:00-18:50] | P2-G4=MIE[15:00-16:50];VIE[15:00-16:50] | P1-G7=MAR[15:00-16:50];JUE[15:00-16:50] | P1-G8=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G5=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G6=MAR[09:30-11:20];JUE[09:30-11:20] | P1-G9=MAR[07:30-09:20];JUE[07:30-09:20] | P2-G7=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G10=MIE[13:00-14:50];VIE[13:00-14:50] | P2-G8=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G9=MIE[13:00-14:50];VIE[13:00-14:50] | P2-G10=MAR[09:30-11:20];JUE[09:30-11:20] | P1-G11=MIE[07:30-09:20];VIE[07:30-09:20] | P2-G11=MIE[07:30-09:20];VIE[07:30-09:20]","FI1101;MA1102","No hay",SI,NO
"Ingeniería Ambiental","MA1103","cálculo y álgebra lineal",4,"P2-G1=MIE[07:30-09:20];VIE[07:30-09:20] | P1-G1=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G2=MAR[18:00-19:50];JUE[18:00-19:50] | P2-G2=MAR[18:00-19:50];JUE[18:00-19:50] | P1-G3=MIE[16:00-17:50];VIE[16:00-17:50] | P1-G4=MAR[16:00-17:50];JUE[16:00-17:50] | P1-G5=MIE[09:30-11:20];VIE[09:30-11:20] | P2-G3=MAR[16:00-17:50];JUE[16:00-17:50] | P2-G4=SAB[07:30-11:20] | P2-G5=MIE[15:00-16:50];VIE[15:00-16:50] | P2-G6=MIE[17:00-18:50];VIE[17:00-18:50] | P2-G7=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G8=MAR[07:30-09:20];JUE[07:30-09:20] | P2-G9=MAR[13:00-14:50];JUE[13:00-14:50] | P1-G6=MAR[15:00-16:50];JUE[15:00-16:50] | P2-G10=MAR[07:30-09:20];JUE[07:30-09:20] | P2-G11=MAR[09:30-11:20];JUE[09:30-11:20] | P1-G7=MAR[13:00-14:50];JUE[13:00-14:50] | P1-G8=MIE[13:00-14:50];VIE[13:00-14:50] | P2-G12=MAR[15:00-16:50];JUE[15:00-16:50] | P2-G13=MIE[13:00-14:50];VIE[13:00-14:50] | P1-G9=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G14=MAR[17:00-18:50];JUE[17:00-18:50] | P2-G15=MIE[09:30-11:20];VIE[09:30-11:20] | P1-G10=SAB[07:30-11:20] | P2-G16=JUE[07:30-11:20] | P1-G11=MIE[15:00-16:50];VIE[15:00-16:50] | P2-G17=MIE[18:00-19:50];VIE[18:00-19:50] | P1-G12=MIE[18:00-19:50];VIE[18:00-19:50] | P1-G13=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G18=MIE[16:00-17:50];VIE[16:00-17:50] | P1-G14=MIE[07:30-09:20];VIE[07:30-09:20]","MA1102","No hay",SI,NO
"Ingeniería Ambiental","QU2604","química ambiental y analítica",3,"P1-G1=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G1=MAR[07:30-09:20];JUE[07:30-09:20] | P1-G2=MAR[09:30-11:20];JUE[09:30-11:20] | P2-G2=MAR[07:30-09:20];JUE[07:30-09:20]","QU1107","QU2605",SI,NO
"Ingeniería Ambiental","SE1101","Artes dramáticas",0,"P1-G1=LUN[09:30-11:20] | P1-G2=VIE[17:30-19:10] | P1-G3=MAR[17:00-18:50];MIE[15:00-16:50] | P2-G1=LUN[09:30-11:20] | P2-G2=VIE[17:30-19:10] | P2-G3=MAR[17:00-18:50];MIE[15:00-16:50]","No hay","No hay",SI,SI
"Ingeniería Ambiental","SE1102","Acción social",0,"P1-G1=LUN[18:00-19:50];MIE[13:00-14:50] | P1-G2=JUE[09:30-11:20] | P1-G3=LUN[09:30-11:20];MAR[07:30-09:20];MIE[07:30-09:20];MIE[09:30-11:20] | P2-G1=LUN[18:00-19:50];MAR[09:30-11:20] | P2-G2=JUE[09:30-11:20] | P2-G3=LUN[07:30-09:20];MAR[07:30-09:20];MIE[07:30-09:20];MIE[09:30-11:20]","No hay","No hay",SI,SI
"Ingeniería Ambiental","SE1103","Danza",0,"P1-G1=JUE[09:30-11:20] | P1-G2=MIE[15:00-16:50] | P1-G3=MAR[17:30-19:10] | P2-G1=JUE[09:30-11:20] | P2-G2=MAR[17:30-19:10]","No hay","No hay",SI,SI
"Ingeniería Ambiental","SE1201","Atletismo",0,"P1-G1=MIE[07:30-09:20] | P1-G2=MIE[09:30-11:20] | P2-G1=MAR[07:30-09:20];MIE[07:30-09:20]","No hay","No hay",SI,SI
"Ingeniería Ambiental","SE1204","Natación",0,"P1-G1=MIE[09:30-11:20] | P1-G2=LUN[07:30-09:20];LUN[09:30-11:20];MIE[07:30-09:20] | P1-G3=JUE[17:00-18:50] | P1-G4=MAR[17:00-18:50];MIE[13:00-14:50];MIE[15:00-16:50];JUE[09:30-11:20] | P2-G1=MIE[09:30-11:20] | P2-G2=LUN[07:30-09:20];LUN[09:30-11:20];MIE[07:30-09:20] | P2-G3=JUE[17:00-18:50] | P2-G4=MAR[17:00-18:50];MIE[13:00-14:50];MIE[15:00-16:50];JUE[09:30-11:20]","No hay","No hay",SI,SI
"Ingeniería Ambiental","SE1107","Apreciación de cine",0,"P1-G1=JUE[13:00-14:50] | P2-G1=MAR[15:00-16:50] | P2-G2=VIE[13:00-14:50];VIE[15:00-16:50]","No hay","No hay",SI,SI
"Ingeniería Ambiental","SE1206","Acondicionamiento físico",0,"P1-G1=SAB[09:30-11:20] | P1-G2=MAR[09:30-11:20] | P1-G3=VIE[07:30-09:20] | P1-G4=MIE[09:30-11:20] | P2-G1=MAR[09:30-11:20] | P2-G2=MIE[09:30-11:20] | P2-G3=MAR[09:30-11:20] | P2-G4=VIE[13:00-14:50] | P2-G5=VIE[07:30-09:20];LUN[07:30-09:20] | P2-G6=MIE[15:00-16:50]","No hay","No hay",SI,SI
"Ingeniería Ambiental","SE1209","Béisbol-softbol",0,"P1-G1=LUN[07:30-09:20];MIE[07:30-09:20] | P1-G2=MAR[09:30-11:20];VIE[09:30-11:20] | P2-G1=LUN[07:30-09:20];MIE[07:30-09:20] | P2-G2=MAR[09:30-11:20];VIE[09:30-11:20]","No hay","No hay",SI,SI
"Ingeniería Ambiental","SE1205","Juegos y deportes en conjunto",0,"P1-G1=MIE[09:00-10:50] | P1-G2=MAR[07:30-09:20] | P1-G3=MAR[09:30-11:20] | P1-G4=LUN[09:30-11:20];JUE[07:30-09:20] | P1-G5=JUE[15:00-16:50];JUE[17:00-18:50] | P1-G6=JUE[09:30-11:20] | P1-G7=MAR[09:30-11:20];JUE[15:00-16:50] | P2-G1=MIE[09:30-11:20] | P2-G2=MIE[09:00-10:50] | P2-G3=MAR[07:30-09:20] | P2-G4=MAR[13:00-14:50] | P2-G5=LUN[09:30-11:20];MIE[07:30-09:20];JUE[07:30-09:20] | P2-G6=JUE[09:30-11:20] | P2-G7=JUE[09:30-11:20]","No hay","No hay",SI,SI
"Ingeniería Ambiental","QU2605","laboratorio de química ambiental y analítica",3,"P2-G1=VIE[07:30-11:20] | P1-G1=MIE[13:00-16:50]","AI2101;QU1104","QU2604",SI,NO
"Ingeniería Ambiental","AI2401","análisis topográfico en ingeniería ambiental",3,"P1-G1=JUE[13:00-16:50] | P1-G2=JUE[13:00-16:50] | P2-G1=LUN[07:30-11:20]","MA1102","No hay",SI,NO
"Ingeniería Ambiental","AI3208","hidráulica para ingeniería ambiental",3,"P2-G1=MAR[15:00-16:50];JUE[15:00-16:50]","FI2103","No hay",SI,NO
"Ingeniería Ambiental","AI3212","termodinámica y cinética ambiental",4,"P2-G1=MAR[13:00-14:50];JUE[13:00-14:50] | P2-G2=SAB[13:00-16:50]","FI2103;QU1107","No hay",SI,NO
"Ingeniería Ambiental","CS2101","ambiente humano",2,"P1-G1=MIE[09:30-12:20] | P1-G2=MIE[13:00-15:50] | P1-G3=LUN[09:00-11:50] | P2-G1=JUE[09:30-12:20] | P1-G4=MIE[15:00-17:50] | P1-G5=VIE[15:00-17:30] | P2-G2=VIE[09:30-12:20] | P2-G3=MIE[09:30-12:20] | P2-G4=MIE[15:00-17:50] | P2-G5=VIE[15:00-17:30] | P1-G6=LUN[07:30-10:20] | P1-G7=VIE[13:00-15:50] | P2-G6=MAR[09:30-12:20] | P2-G7=LUN[07:30-10:20] | P2-G8=LUN[18:00-20:50] | P1-G8=MAR[18:00-20:50] | P1-G9=LUN[18:00-20:50] | P2-G9=MAR[18:00-20:50] | P2-G10=LUN[09:00-11:50]","CS1502","No hay",SI,SI
"Ingeniería Ambiental","CS4108","derecho ambiental",1,"P2-G1=LUN[18:00-19:50]","AI3104","No hay",SI,NO
"Ingeniería Ambiental","QU2409","química orgánica y bioquímica",3,"P2-G1=MAR[09:30-11:20];JUE[09:30-11:20]","QU1107","QU2410",SI,NO
"Ingeniería Ambiental","QU2410","laboratorio de química orgánica y bioquímica",2,"P2-G1=MIE[07:30-11:20] | P2-G2=MIE[13:00-16:50]","QU1104","QU2409",SI,NO
"Ingeniería Ambiental","AI3105","laboratorio de microbiología ambiental",2,"P1-G1=LUN[10:30-18:50] | P1-G2=LUN[11:30-12:20];MAR[09:30-11:20]","QU2410","AI3106",SI,NO
"Ingeniería Ambiental","AI3106","microbiología ambiental",3,"P1-G1=MAR[13:00-14:50];JUE[13:00-14:50]","QU2409","AI3105",SI,NO
"Ingeniería Ambiental","AI3107","operaciones unitarias",3,"P1-G1=MAR[15:00-16:50];JUE[15:00-16:50]","AI3208;QU2604","No hay",SI,NO
"Ingeniería Ambiental","AI3108","dibujo e interpretación de planos",3,"P1-G1=LUN[07:30-10:20]","AI2401","No hay",SI,NO
